dt_movimento;nu_apf;nu_contrato;no_mutuario;txt_cpf;dt_assinatura;vr_encargo_total_atraso;qt_dias_atraso;pz_amortizacao;pz_decorrido;pz_remanescente;vr_renda_familiar_comprovada;vr_garantia_inicial;dt_nascimento;co_sexo;qt_coobrigados;de_estado_civil;dsc_tipo_contrato;dt_termino_contrato;dsc_situacao_ctr;qt_prestacoes_atraso;vr_saldo_devedor_atual;vr_prestacao;co_municipio_ibge_completo;name_file
17/06/2016;30105897;495071629335;Amanda Ribeiro;76033870029;02/01/2021;0;0;0;120;0;976,0;67999,0;04/11/1995;2;0;Solteiro;SUBSIDIO_MENSAL_NA_PRESTACAO;2022-03-07 00:00:00.000;LIQUIDADO;0;0.0;0;686810;INT039
16/12/2023;14098875;309160399188;Fabiana Ribeiro;55599932969;26/07/2024;0;0;0;120;0;2521,0;-21093,9;17/12/2005;2;0;Solteiro;SUBSIDIO_MENSAL_NA_PRESTACAO;2022-03-14 00:00:00.000;LIQUIDADO;0;0.0;0;939834;INT039
23/02/2021;67583743;806734503078;Luana Dias;81362256980;13/08/2021;0;0;0;120;0;2774,0;-30196,1;26/11/1986;1;0;Solteiro;SUBSIDIO_MENSAL_NA_PRESTACAO;2022-03-01 00:00:00.000;LIQUIDADO;0;0.0;0;479047;INT039
23/03/2018;73682663;259609770031;Francisca de Almeida;62653063121;27/07/2022;0;0;0;120;0;856,0;30774,0;23/04/2006;1;0;Solteiro;SUBSIDIO_MENSAL_NA_PRESTACAO;2022-03-09 00:00:00.000;LIQUIDADO;0;0.0;0;193921;INT039
14/09/2025;87075498;763017017131;Vera Rodrigues;44242353701;02/08/2021;0;0;0;120;0;3027,0;-39298,4;10/10/1999;1;0;Casado com comunhÃ£o parcial de bens;SUBSIDIO_MENSAL_NA_PRESTACAO;2022-03-07 00:00:00.000;LIQUIDADO;0;0.0;0;377662;INT039
26/02/2016;72033463;953402357564;Maria Costa;39446762206;20/02/2022;0;0;0;120;0;3280,0;-48400,6;22/07/1989;1;0;Solteiro;SUBSIDIO_MENSAL_NA_PRESTACAO;2022-03-08 00:00:00.000;LIQUIDADO;0;0.0;0;980841;INT039
17/10/2017;47573885;936773475610;Simone de Almeida;48945093796;06/12/2019;0;0;0;120;0;583,0;55305,0;23/04/1998;2;0;Solteiro;SUBSIDIO_MENSAL_NA_PRESTACAO;2022-03-09 00:00:00.000;LIQUIDADO;0;0.0;0;671559;INT039
22/05/2019;76158288;731452919522;Sônia dos Santos;37211634639;21/11/2014;0;0;0;120;0;3533,0;-57502,9;25/11/1990;1;0;Solteiro;SUBSIDIO_MENSAL_NA_PRESTACAO;2022-03-14 00:00:00.000;LIQUIDADO;77;0.0;0;551904;INT039
28/03/2019;53996737;539745800028;Fernanda Araujo;75634069066;24/10/2020;0;0;0;120;0;3786,0;-66605,1;06/09/1989;1;0;ViÃºvo;SUBSIDIO_MENSAL_NA_PRESTACAO;2022-03-14 00:00:00.000;LIQUIDADO;110;0.0;0;992964;INT039
21/10/2025;29548255;816557682109;Maria Machado;57853656936;09/09/2021;0;0;0;120;0;443,0;37294,0;27/07/1992;1;0;Solteiro;SUBSIDIO_MENSAL_NA_PRESTACAO;2022-04-30 00:00:00.000;LIQUIDADO;0;0.0;0;991609;INT039
04/04/2019;70672373;770559311494;Júlia da Silva;16864299935;25/01/2017;0;0;0;120;0;4039,0;-75707,4;17/09/1991;1;0;Casado com comunhÃ£o parcial de bens;SUBSIDIO_MENSAL_NA_PRESTACAO;2022-03-09 00:00:00.000;LIQUIDADO;0;0.0;0;526612;INT039
13/07/2022;59473125;723917016754;Lúcia Batista;71246847179;20/11/2025;0;0;0;120;0;4292,0;-84809,6;23/04/2005;2;0;Solteiro;SUBSIDIO_MENSAL_NA_PRESTACAO;2022-03-14 00:00:00.000;LIQUIDADO;0;0.0;0;582850;INT039
15/03/2019;79083152;111548899563;Aline Ramos;96683145907;08/06/2013;0;0;0;120;0;446,0;34928,0;11/10/1989;2;0;Solteiro;SUBSIDIO_MENSAL_NA_PRESTACAO;2022-03-08 00:00:00.000;LIQUIDADO;0;0.0;0;247173;INT039
04/06/2015;51716368;825591081917;Eliane Machado;45387299095;21/07/2016;0;0;0;120;0;4545,0;-93911,9;26/12/1992;1;0;Divorciado;SUBSIDIO_MENSAL_NA_PRESTACAO;2022-03-08 00:00:00.000;LIQUIDADO;0;0.0;0;481936;INT039
04/07/2023;67235943;577792305494;Rita de Carvalho;28739590734;01/07/2021;0;0;0;120;0;4798,0;-103014,1;07/07/1994;2;0;Solteiro;SUBSIDIO_MENSAL_NA_PRESTACAO;2022-03-15 00:00:00.000;LIQUIDADO;0;0.0;0;251860;INT039
21/07/2025;77738654;235873629378;Luciana do Nascimento;18134171258;24/05/2011;0;0;0;120;0;770,0;46795,0;27/01/2003;2;0;Solteiro;SUBSIDIO_MENSAL_NA_PRESTACAO;2022-03-14 00:00:00.000;LIQUIDADO;0;0.0;0;190770;INT039
25/03/2022;10809783;360238014255;Sandra Dias;31800935297;03/05/2017;0;0;0;120;0;5051,0;-112116,4;18/02/1988;2;0;Solteiro;SUBSIDIO_MENSAL_NA_PRESTACAO;2022-05-30 00:00:00.000;LIQUIDADO;0;0.0;0;214364;INT039
09/05/2015;84739925;636711973768;Rita Rocha;79197184628;11/11/2016;0;0;0;120;0;5304,0;-121218,6;04/05/2005;2;0;Casado com comunhÃ£o parcial de bens;SUBSIDIO_MENSAL_NA_PRESTACAO;2022-03-01 00:00:00.000;LIQUIDADO;0;0.0;0;518164;INT039
22/03/2022;23078552;416977457016;Aparecida Machado;99848729873;21/03/2021;0;0;0;120;0;761,0;50227,0;19/12/1989;2;0;Casado com comunhÃ£o parcial de bens;SUBSIDIO_MENSAL_NA_PRESTACAO;2022-03-08 00:00:00.000;LIQUIDADO;0;0.0;0;456117;INT039
26/05/2025;66868526;110362558340;Juliana Teixeira;64428980005;25/09/2022;0;0;0;120;0;5557,0;-130320,9;22/08/1990;2;0;Solteiro;SUBSIDIO_MENSAL_NA_PRESTACAO;2022-03-08 00:00:00.000;LIQUIDADO;0;0.0;0;923706;INT039
18/05/2018;72649150;465800307234;Cristiane Vieira;64042297166;01/06/2020;0;0;0;120;0;5810,0;-139423,1;03/10/1991;1;0;Casado com comunhÃ£o parcial de bens;SUBSIDIO_MENSAL_NA_PRESTACAO;2022-03-08 00:00:00.000;LIQUIDADO;0;0.0;0;347060;INT039
18/03/2019;48755801;482740075495;Letícia Gonçalves;84461752598;27/12/2012;0;0;0;120;0;672,0;46621,0;13/09/2001;1;0;Solteiro;SUBSIDIO_MENSAL_NA_PRESTACAO;2022-03-01 00:00:00.000;LIQUIDADO;0;0.0;0;923693;INT039
02/09/2022;21914640;368430717496;Carla Nascimento;63044998202;08/12/2022;0;0;0;120;0;6063,0;-148525,4;18/04/2006;1;0;Solteiro;SUBSIDIO_MENSAL_NA_PRESTACAO;2022-03-15 00:00:00.000;LIQUIDADO;0;0.0;0;760343;INT039
09/11/2020;48674835;460963646297;Jéssica do Nascimento;54703290548;19/08/2021;0;0;0;120;0;6316,0;-157627,6;24/09/1993;2;0;Solteiro;SUBSIDIO_MENSAL_NA_PRESTACAO;2022-03-01 00:00:00.000;LIQUIDADO;0;0.0;0;257932;INT039
27/03/2017;74792242;172725455715;Beatriz da Conceiçao;24673755599;13/04/2023;0;0;0;120;0;964,0;47714,0;24/12/2005;2;0;Solteiro;SUBSIDIO_MENSAL_NA_PRESTACAO;2022-03-01 00:00:00.000;LIQUIDADO;98;0.0;0;168264;INT039
22/02/2017;65514085;596389653716;Beatriz Gomes;42363354807;12/05/2015;0;0;0;120;0;6569,0;-166729,9;28/01/1996;1;0;Solteiro;SUBSIDIO_MENSAL_NA_PRESTACAO;2022-03-15 00:00:00.000;LIQUIDADO;0;0.0;0;493975;INT039
19/06/2024;87438566;126340602264;Marlene Ferreira;36522552432;21/06/2016;0;0;0;120;0;6822,0;-175832,1;25/01/1986;2;0;Solteiro;SUBSIDIO_MENSAL_NA_PRESTACAO;2022-05-30 00:00:00.000;LIQUIDADO;0;0.0;0;449078;INT039
25/02/2016;17321707;257840136438;Raquel Rocha;23481332306;09/11/2021;0;0;0;120;0;963,0;44471,0;11/06/2005;2;0;Solteiro;SUBSIDIO_MENSAL_NA_PRESTACAO;2022-03-01 00:00:00.000;LIQUIDADO;0;0.0;0;762759;INT039
24/03/2025;20667770;655578339878;Marlene Silva;89190660003;15/01/2016;0;0;0;120;0;7075,0;-184934,4;01/05/1984;1;0;Solteiro;SUBSIDIO_MENSAL_NA_PRESTACAO;2022-03-07 00:00:00.000;LIQUIDADO;0;0.0;0;889831;INT039
08/08/2021;20298160;189538459236;Raimunda Souza;91630825578;04/05/2023;0;0;0;120;0;7328,0;-194036,6;20/04/1998;2;0;Solteiro;SUBSIDIO_MENSAL_NA_PRESTACAO;2022-04-30 00:00:00.000;LIQUIDADO;0;0.0;0;833413;INT039
11/08/2024;47425143;705820107520;Vitória Gomes;12304557608;14/10/2023;0;0;0;120;0;740,0;38889,0;05/09/1995;2;0;Solteiro;SUBSIDIO_MENSAL_NA_PRESTACAO;2022-06-01 00:00:00.000;LIQUIDADO;0;0.0;0;168740;INT039
24/03/2019;56772480;799564394260;Simone Batista;86875529427;05/05/2015;0;0;0;120;0;7581,0;-203138,9;26/09/1992;2;0;Solteiro;SUBSIDIO_MENSAL_NA_PRESTACAO;2022-05-30 00:00:00.000;LIQUIDADO;0;0.0;0;900435;INT039
03/08/2018;36002582;163429548288;Antônia Moreira;72672260928;20/03/2013;0;0;0;120;0;7834,0;-212241,1;27/04/1987;1;0;Solteiro;SUBSIDIO_MENSAL_NA_PRESTACAO;2022-06-25 00:00:00.000;LIQUIDADO;0;0.0;0;440088;INT039
26/09/2024;58387273;200529529255;Aline de Souza;48165853112;11/03/2021;0;0;0;120;0;552,0;67673,0;02/02/2001;1;0;Solteiro;SUBSIDIO_MENSAL_NA_PRESTACAO;2022-03-09 00:00:00.000;LIQUIDADO;0;0.0;0;832120;INT039
05/11/2022;64137032;361392101363;Josefa Barbosa;71743511616;16/06/2017;0;0;0;120;0;8087,0;-221343,4;25/12/1985;1;0;Casado com comunhÃ£o parcial de bens;SUBSIDIO_MENSAL_NA_PRESTACAO;2022-03-01 00:00:00.000;LIQUIDADO;0;0.0;0;965225;INT039
09/04/2022;56428211;454216680878;Vera Mendes;11637071101;11/06/2022;0;0;0;120;0;8340,0;-230445,6;14/05/1998;2;0;Solteiro;SUBSIDIO_MENSAL_NA_PRESTACAO;2022-03-09 00:00:00.000;LIQUIDADO;0;0.0;0;371990;INT039
18/04/2015;94016740;941388562030;Lúcia Barbosa;28069978812;10/12/2016;0;0;0;120;0;820,0;62133,0;24/07/1986;2;0;Solteiro;SUBSIDIO_MENSAL_NA_PRESTACAO;2022-06-25 00:00:00.000;LIQUIDADO;0;0.0;0;420052;INT039
20/10/2017;33035022;585807418289;Aline Lima;17511733462;01/09/2015;0;0;0;120;0;8593,0;-239547,9;12/07/1995;1;0;Casado com comunhÃ£o parcial de bens;SUBSIDIO_MENSAL_NA_PRESTACAO;2022-03-09 00:00:00.000;LIQUIDADO;0;0.0;0;869891;INT039
22/02/2022;99327988;698454559520;Ângela Lopes;36470712341;15/12/2014;0;0;0;120;0;8846,0;-248650,1;12/09/2005;2;0;Solteiro;SUBSIDIO_MENSAL_NA_PRESTACAO;2022-03-09 00:00:00.000;LIQUIDADO;0;0.0;0;985949;INT039
07/09/2020;74706386;989902241795;Fernanda da Costa;34905294416;13/09/2020;0;0;0;120;0;591,0;56673,0;18/09/1990;1;0;Solteiro;SUBSIDIO_MENSAL_NA_PRESTACAO;2022-03-09 00:00:00.000;LIQUIDADO;0;0.0;0;755813;INT039
12/04/2015;81481656;852388511886;Raquel Cardoso;64428372826;05/05/2019;0;0;0;120;0;9099,0;-257752,4;15/06/1997;2;0;Separado judicialmente;SUBSIDIO_MENSAL_NA_PRESTACAO;2022-03-08 00:00:00.000;LIQUIDADO;0;0.0;0;774966;INT039
20/07/2019;84268511;780750943002;Adriana Araujo;56305135734;23/06/2023;0;0;0;120;0;9352,0;-266854,6;22/07/2002;1;0;Casado com comunhÃ£o parcial de bens;SUBSIDIO_MENSAL_NA_PRESTACAO;2022-03-07 00:00:00.000;LIQUIDADO;0;0.0;0;398563;INT039
11/12/2020;51469100;439773785094;Luana de Souza;43621014815;07/11/2022;0;0;0;120;0;609,0;37930,0;20/01/2005;1;0;Solteiro;SUBSIDIO_MENSAL_NA_PRESTACAO;2022-03-14 00:00:00.000;LIQUIDADO;81;0.0;0;431409;INT039
14/09/2016;41871442;651281330812;Rosa de Lima;19989924935;07/08/2016;0;0;0;120;0;9605,0;-275956,9;12/11/1993;2;0;Casado com comunhÃ£o parcial de bens;SUBSIDIO_MENSAL_NA_PRESTACAO;2022-03-07 00:00:00.000;LIQUIDADO;0;0.0;0;713918;INT039
19/08/2023;59111801;430181515308;Gabriela Oliveira;64839394863;28/06/2015;0;0;0;120;0;9858,0;-285059,1;22/04/1986;1;0;Solteiro;SUBSIDIO_MENSAL_NA_PRESTACAO;2022-05-30 00:00:00.000;LIQUIDADO;0;0.0;0;842532;INT039
14/11/2015;80399279;132388274378;Gabriela Martins;79942344681;10/01/2020;0;0;0;120;0;569,0;69182,0;14/04/1992;2;0;Solteiro;SUBSIDIO_MENSAL_NA_PRESTACAO;2022-03-15 00:00:00.000;LIQUIDADO;0;0.0;0;128038;INT039
16/03/2016;83392694;750167295111;Raquel Souza;85729626449;16/08/2024;0;0;0;120;0;10111,0;-294161,4;21/03/2000;2;0;Casado com comunhÃ£o total de bens;SUBSIDIO_MENSAL_NA_PRESTACAO;2022-03-07 00:00:00.000;LIQUIDADO;0;0.0;0;266126;INT039
02/05/2015;32075920;513152455748;Francisca de Carvalho;79581437956;18/08/2025;0;0;0;120;0;10364,0;-303263,6;27/04/1992;2;0;Solteiro;SUBSIDIO_MENSAL_NA_PRESTACAO;2022-03-09 00:00:00.000;LIQUIDADO;0;0.0;0;320461;INT039
20/10/2024;27454513;731125319786;Eliane Alves;65142121759;04/09/2017;0;0;0;120;0;441,0;60790,0;03/11/1984;2;0;Solteiro;SUBSIDIO_MENSAL_NA_PRESTACAO;2022-03-14 00:00:00.000;LIQUIDADO;0;0.0;0;519950;INT039
10/03/2023;19098056;602778611503;Rosa Carvalho;54568430848;25/12/2023;0;0;0;120;0;10617,0;-312365,9;11/05/2002;2;0;;SUBSIDIO_MENSAL_NA_PRESTACAO;2022-04-30 00:00:00.000;LIQUIDADO;0;0.0;0;604523;INT039
05/07/2019;11479689;670267102815;Carla de Carvalho;67325397558;24/02/2019;0;0;0;120;0;10870,0;-321468,1;22/01/1992;2;0;Solteiro;SUBSIDIO_MENSAL_NA_PRESTACAO;2022-03-15 00:00:00.000;LIQUIDADO;0;0.0;0;654831;INT039
08/05/2025;11656231;619052695801;Adriana Moreira;51642221788;27/01/2016;0;0;0;120;0;586,0;48302,0;03/02/1993;1;0;Divorciado;SUBSIDIO_MENSAL_NA_PRESTACAO;2022-03-09 00:00:00.000;LIQUIDADO;0;0.0;0;573626;INT039
08/06/2025;21181849;889246693329;Beatriz Oliveira;86936367471;03/11/2019;0;0;0;120;0;11123,0;-330570,4;21/05/1994;2;0;Casado com comunhÃ£o parcial de bens;SUBSIDIO_MENSAL_NA_PRESTACAO;2022-03-09 00:00:00.000;LIQUIDADO;0;0.0;0;998390;INT039
09/11/2024;74691051;942745517241;Renata Carvalho;66944138733;08/04/2018;0;0;0;120;0;11376,0;-339672,6;09/10/1985;2;0;Solteiro;SUBSIDIO_MENSAL_NA_PRESTACAO;2022-03-14 00:00:00.000;LIQUIDADO;0;0.0;0;293352;INT039
10/02/2022;61915605;577294222874;Sandra Araujo;45809421131;12/04/2024;0;0;0;120;0;903,0;46657,0;20/12/1999;2;0;Solteiro;SUBSIDIO_MENSAL_NA_PRESTACAO;2022-05-30 00:00:00.000;LIQUIDADO;0;0.0;0;286415;INT039
01/03/2018;31202200;908735321061;Ana de Souza;97439906188;22/07/2023;0;0;0;120;0;11629,0;-348774,9;15/01/2003;1;0;Solteiro;SUBSIDIO_MENSAL_NA_PRESTACAO;2022-03-09 00:00:00.000;LIQUIDADO;0;0.0;0;187839;INT039
25/10/2019;94160535;207028495926;Fabiana Araujo;62392449651;23/01/2017;0;0;0;120;0;11882,0;-357877,1;02/03/2001;2;0;Solteiro;SUBSIDIO_MENSAL_NA_PRESTACAO;2022-03-09 00:00:00.000;LIQUIDADO;0;0.0;0;137895;INT039
19/03/2025;83581294;473343604027;Letícia Barbosa;50571498293;24/02/2023;0;0;0;120;0;773,0;67611,0;22/12/1996;2;0;Solteiro;SUBSIDIO_MENSAL_NA_PRESTACAO;2022-05-30 00:00:00.000;LIQUIDADO;0;0.0;0;987039;INT039
02/04/2017;68735376;178249445389;Juliana Barbosa;40347964988;02/09/2025;0;0;0;120;0;12135,0;-366979,4;06/06/1989;1;0;Solteiro;SUBSIDIO_MENSAL_NA_PRESTACAO;2022-03-14 00:00:00.000;LIQUIDADO;0;0.0;0;518935;INT039
19/08/2020;21077267;854711283733;Gabriela Alves;83305600217;11/04/2023;0;0;0;120;0;12388,0;-376081,6;25/05/1985;2;0;Solteiro;SUBSIDIO_MENSAL_NA_PRESTACAO;2022-03-14 00:00:00.000;LIQUIDADO;87;0.0;0;582727;INT039
28/06/2016;40768310;246899939726;Gabriela Rodrigues;63473399066;01/02/2021;0;0;0;120;0;535,0;51981,0;12/09/1989;2;0;Casado com comunhÃ£o parcial de bens;SUBSIDIO_MENSAL_NA_PRESTACAO;2022-03-13 00:00:00.000;LIQUIDADO;0;0.0;0;909164;INT039
01/11/2017;78084270;145235666673;Rosa Martins;64737274940;07/06/2024;0;0;0;120;0;12641,0;-385183,9;20/01/2002;2;0;Solteiro;SUBSIDIO_MENSAL_NA_PRESTACAO;2022-03-14 00:00:00.000;LIQUIDADO;0;0.0;0;538718;INT039
16/07/2022;56162189;101500945751;Raimunda Dias;78645631811;12/06/2015;0;0;0;120;0;12894,0;-394286,1;12/08/2001;1;0;Solteiro;SUBSIDIO_MENSAL_NA_PRESTACAO;2022-04-30 00:00:00.000;LIQUIDADO;0;0.0;0;244571;INT039
01/09/2017;34315874;275455623646;Raimunda Rocha;73532069734;08/11/2014;0;0;0;120;0;771,0;42254,0;26/09/1991;2;0;Solteiro;SUBSIDIO_MENSAL_NA_PRESTACAO;2023-09-17 00:00:00.000;LIQUIDADO;0;0.0;0;868241;INT039
25/12/2017;34142702;726757171062;Adriana do Nascimento;25251870616;25/02/2013;0;0;0;120;0;13147,0;-403388,4;03/12/1998;2;0;Solteiro;SUBSIDIO_MENSAL_NA_PRESTACAO;2022-04-30 00:00:00.000;LIQUIDADO;0;0.0;0;326769;INT039
22/07/2020;50204820;242464885185;Aline Dias;76965558353;12/09/2012;0;0;0;120;0;13400,0;-412490,6;18/03/1997;2;0;Separado judicialmente;PAC_CALAMIDADES;2022-03-14 00:00:00.000;LIQUIDADO;0;0.0;0;385763;INT039
11/03/2025;70845432;401190354383;Larissa Rodrigues;15296580813;18/01/2022;0;0;0;120;0;995,0;59774,0;13/05/1998;1;0;Solteiro;SUBSIDIO_MENSAL_NA_PRESTACAO;2022-06-25 00:00:00.000;LIQUIDADO;0;0.0;0;141778;INT039
09/07/2023;15530405;360662430772;Rosângela Rodrigues;23159862056;12/09/2025;0;0;0;120;0;13653,0;-421592,9;24/09/1986;1;0;Solteiro;SUBSIDIO_MENSAL_NA_PRESTACAO;2022-03-07 00:00:00.000;LIQUIDADO;0;0.0;0;604325;INT039
09/06/2015;15778251;905071757502;Antônia Gomes;68122220774;22/02/2013;0;0;0;120;0;13906,0;-430695,1;21/11/1992;2;0;Solteiro;SUBSIDIO_MENSAL_NA_PRESTACAO;2022-07-19 00:00:00.000;LIQUIDADO;0;0.0;0;345934;INT039
07/05/2017;47615787;933819870173;Adriana Ferreira;19757315048;10/09/2019;0;0;0;120;0;699,0;35056,0;12/04/2000;2;0;Solteiro;SUBSIDIO_MENSAL_NA_PRESTACAO;2022-03-08 00:00:00.000;LIQUIDADO;0;0.0;0;494946;INT039
22/08/2023;14729243;399726865191;Patrícia Gomes;97254055590;04/04/2022;0;0;0;120;0;14159,0;-439797,4;12/02/1999;2;0;Casado com comunhÃ£o parcial de bens;SUBSIDIO_MENSAL_NA_PRESTACAO;2022-04-30 00:00:00.000;LIQUIDADO;0;0.0;0;400857;INT039
25/07/2016;20755939;502643552169;Luana Oliveira;60678297096;03/04/2012;0;0;0;120;0;14412,0;-448899,6;24/02/1991;1;0;Separado judicialmente;SUBSIDIO_MENSAL_NA_PRESTACAO;2022-03-14 00:00:00.000;LIQUIDADO;0;0.0;0;644370;INT039
20/11/2017;98144449;619211671326;Cláudia Ribeiro;62023047865;08/02/2020;0;0;0;120;0;930,0;69920,0;22/04/2000;1;0;Solteiro;SUBSIDIO_MENSAL_NA_PRESTACAO;2022-03-15 00:00:00.000;LIQUIDADO;70;0.0;0;558361;INT039
13/01/2015;88873318;110144641742;Fabiana Fernandes;88858286678;19/06/2019;0;0;0;120;0;14665,0;-458001,9;10/10/2006;1;0;Solteiro;SUBSIDIO_MENSAL_NA_PRESTACAO;2022-09-03 00:00:00.000;LIQUIDADO;0;0.0;0;389839;INT039
22/10/2022;16375460;324952762939;Luana Martins;31940139159;16/08/2023;0;0;0;120;0;14918,0;-467104,1;22/12/1984;1;0;ViÃºvo;SUBSIDIO_MENSAL_NA_PRESTACAO;2022-03-14 00:00:00.000;LIQUIDADO;0;0.0;0;781604;INT039
22/06/2016;95707372;839479373657;Márcia Santana;21791144785;25/03/2016;0;0;0;120;0;860,0;39712,0;03/01/1989;1;0;Solteiro;SUBSIDIO_MENSAL_NA_PRESTACAO;2022-06-25 00:00:00.000;LIQUIDADO;0;0.0;0;419191;INT039
26/06/2022;57792159;747189863731;Débora Lopes;30549933224;05/11/2024;0;0;0;120;0;15171,0;-476206,4;20/08/1994;1;0;Solteiro;SUBSIDIO_MENSAL_NA_PRESTACAO;2022-03-15 00:00:00.000;LIQUIDADO;0;0.0;0;619121;INT039
11/12/2020;11537824;611361451929;Bruna Soares;60856994228;27/09/2013;0;0;0;120;0;15424,0;-485308,6;21/12/1998;1;0;Solteiro;SUBSIDIO_MENSAL_NA_PRESTACAO;2022-04-30 00:00:00.000;LIQUIDADO;0;0.0;0;831762;INT039
09/02/2015;36778398;486460353115;Luciana Rocha;79757422448;18/09/2014;0;0;0;120;0;473,0;63319,0;08/11/1996;1;0;Solteiro;SUBSIDIO_MENSAL_NA_PRESTACAO;2022-04-30 00:00:00.000;LIQUIDADO;0;0.0;0;834552;INT039
01/02/2023;71176752;254257715266;Juliana Dias;61170944340;26/02/2015;0;0;0;120;0;15677,0;-494410,9;23/11/1992;2;0;Solteiro;SUBSIDIO_MENSAL_NA_PRESTACAO;2022-04-30 00:00:00.000;LIQUIDADO;0;0.0;0;737857;INT039
02/09/2024;73189348;621095861983;Letícia de Araujo;86217378638;11/07/2018;0;0;0;120;0;15930,0;-503513,1;17/10/2004;2;0;Solteiro;SUBSIDIO_MENSAL_NA_PRESTACAO;2022-03-07 00:00:00.000;LIQUIDADO;0;0.0;0;106959;INT039
21/12/2022;38747376;817057493147;Rosa Barbosa;14493036540;09/07/2018;0;0;0;120;0;607,0;57145,0;15/06/1991;1;0;Solteiro;SUBSIDIO_MENSAL_NA_PRESTACAO;2022-06-25 00:00:00.000;LIQUIDADO;0;0.0;0;458705;INT039
05/03/2015;98873350;138681112988;Fernanda de Sousa;58917489358;15/06/2021;0;0;0;120;0;16183,0;-512615,4;06/09/1989;1;0;Casado com comunhÃ£o parcial de bens;SUBSIDIO_MENSAL_NA_PRESTACAO;2022-04-30 00:00:00.000;LIQUIDADO;0;0.0;0;476516;INT039
14/06/2023;14473825;832457647518;Francisca Machado;62547031118;19/10/2024;0;0;0;120;0;16436,0;-521717,6;06/06/1996;1;0;Solteiro;SUBSIDIO_MENSAL_NA_PRESTACAO;2022-03-15 00:00:00.000;LIQUIDADO;0;0.0;0;588298;INT039
