data_referencia;cod_ibge;txt_municipio;txt_uf;txt_regiao;cod_empreendimento;txt_nome_empreendimento;txt_af;txt_modalidade;dt_assinatura_contrato;data_nascimento;txt_sexo;Estado Civil;Tipo de Beneficiário;vr_garantia_inicial;vr_subsidio_concessao;vr_renda_familiar_comprovada
11/02/2019;567394;Salvador;BA;Nordeste;FAR-011-BA;Condomínio FAR-011-BA;Banco do Nordeste;MCMV-FAR;09/01/2024;17/09/1999;Masculino;viúvo;Não aplicável;R$ 60.388,00;R$ 45.761,00;R$ 3.614,00
23/07/2020;134261;Curitiba;PR;Sul;FAR-012-PR;Residencial FAR-012-PR;Caixa Econômica Federal;MCMV-Oferta Pública;21/03/2023;19/09/2004;Masculino;casado;Quilombolas;R$ 94.036,00;R$ 45.777,00;R$ 2.495,00
08/08/2018;717873;São Paulo;SP;Sudeste;FAR-013-SP;Condomínio FAR-013-SP;Caixa Econômica Federal;MCMV-FAR;01/07/2023;20/02/1992;Feminino;separado;Indigena;R$ 76.038,00;R$ 43.949,00;R$ 2.128,00
25/08/2021;793703;Rio de Janeiro;RJ;Sudeste;FAR-014-RJ;Residencial FAR-014-RJ;Banco do Nordeste;MCMV-Entidades;31/07/2024;23/01/1984;Feminino;casado;Indigena;R$ 95.496,00;R$ 42.600,00;R$ 1.959,00
26/09/2019;481156;Curitiba;PR;Sul;FAR-015-PR;Residencial FAR-015-PR;Banco do Nordeste;MCMV-Oferta Pública;31/08/2024;25/06/1993;Feminino;viúvo;Extravista;R$ 66.821,00;R$ 49.160,00;R$ 1.319,00
10/05/2017;792700;Curitiba;PR;Sul;FAR-016-PR;Residencial FAR-016-PR;Banco do Nordeste;MCMV-Oferta Pública;16/06/2023;15/11/1985;Masculino;solteiro;Indigena;R$ 58.048,00;R$ 45.866,00;R$ 2.517,00
06/04/2022;483942;Salvador;BA;Nordeste;FAR-017-BA;Conjunto Habitacional FAR-017-BA;Banco do Brasil;MCMV-FAR;01/02/2025;24/05/2000;Feminino;solteiro;Quilombolas;R$ 91.104,00;R$ 42.616,00;R$ 2.563,00
13/05/2024;291452;Curitiba;PR;Sul;FAR-018-PR;Residencial FAR-018-PR;Caixa Econômica Federal;MCMV-Oferta Pública;31/05/2023;07/11/1995;Feminino;solteiro;Outras Comunidades;R$ 55.740,00;R$ 45.572,00;R$ 3.349,00
11/11/2021;483528;São Paulo;SP;Sudeste;FAR-019-SP;Residencial FAR-019-SP;Banco do Brasil;MCMV-FAR;28/07/2024;03/11/1985;Masculino;separado;Outras Comunidades;R$ 85.115,00;R$ 42.699,00;R$ 3.217,00
14/09/2024;636788;Rio de Janeiro;RJ;Sudeste;FAR-020-RJ;Conjunto Habitacional FAR-020-RJ;Caixa Econômica Federal;MCMV-Entidades;15/05/2025;06/10/2005;Feminino;casado;Outras Comunidades;R$ 57.101,00;R$ 42.207,00;R$ 4.579,00
28/04/2019;669983;Rio de Janeiro;RJ;Sudeste;FAR-021-RJ;Condomínio FAR-021-RJ;Banco do Nordeste;MCMV-Entidades;17/02/2024;15/03/2003;Feminino;casado;Indigena;R$ 55.979,00;R$ 47.264,00;R$ 4.153,00
21/09/2018;827806;Salvador;BA;Nordeste;FAR-022-BA;Residencial FAR-022-BA;Banco do Brasil;MCMV-FAR;26/01/2025;06/02/1985;Feminino;solteiro;Extravista;R$ 62.932,00;R$ 48.732,00;R$ 2.564,00
15/07/2023;502665;Curitiba;PR;Sul;FAR-023-PR;Condomínio FAR-023-PR;Banco do Nordeste;MCMV-Oferta Pública;09/10/2023;11/11/1991;Masculino;divorciado;Indigena;R$ 54.270,00;R$ 45.194,00;R$ 4.369,00
14/07/2023;426140;Curitiba;PR;Sul;FAR-024-PR;Conjunto Habitacional FAR-024-PR;Caixa Econômica Federal;MCMV-Oferta Pública;22/08/2024;06/06/2002;Feminino;divorciado;Indigena;R$ 65.596,00;R$ 47.859,00;R$ 2.031,00
10/07/2023;978989;Curitiba;PR;Sul;FAR-025-PR;Residencial FAR-025-PR;Banco do Brasil;MCMV-Oferta Pública;16/05/2024;04/04/2002;Masculino;separado;Não aplicável;R$ 58.713,00;R$ 40.169,00;R$ 3.307,00
08/06/2021;917590;São Paulo;SP;Sudeste;FAR-026-SP;Condomínio FAR-026-SP;Banco do Nordeste;MCMV-FAR;10/03/2023;17/11/1998;Feminino;separado;Assentados do PNRA;R$ 72.791,00;R$ 42.448,00;R$ 4.412,00
08/08/2020;719033;Curitiba;PR;Sul;FAR-027-PR;Conjunto Habitacional FAR-027-PR;Banco do Nordeste;MCMV-Oferta Pública;22/12/2024;01/07/1996;Feminino;separado;Outras Comunidades;R$ 75.237,00;R$ 48.592,00;R$ 4.754,00
12/01/2017;213490;Curitiba;PR;Sul;FAR-028-PR;Condomínio FAR-028-PR;Banco do Nordeste;MCMV-Oferta Pública;26/06/2023;12/09/2006;Masculino;viúvo;Pescadores artesanais;R$ 89.977,00;R$ 43.247,00;R$ 2.455,00
25/04/2024;572312;Rio de Janeiro;RJ;Sudeste;FAR-029-RJ;Residencial FAR-029-RJ;Caixa Econômica Federal;MCMV-Entidades;16/07/2024;19/04/1992;Masculino;solteiro;Outras Comunidades;R$ 72.852,00;R$ 42.664,00;R$ 3.304,00
27/07/2021;152685;Salvador;BA;Nordeste;FAR-030-BA;Conjunto Habitacional FAR-030-BA;Banco do Nordeste;MCMV-FAR;22/02/2024;07/07/1987;Feminino;viúvo;Indigena;R$ 95.525,00;R$ 45.166,00;R$ 4.134,00
07/10/2017;471499;Salvador;BA;Nordeste;FAR-031-BA;Condomínio FAR-031-BA;Banco do Nordeste;MCMV-FAR;02/01/2024;13/07/1991;Feminino;divorciado;Assentados do PNRA;R$ 51.351,00;R$ 47.742,00;R$ 3.981,00
14/11/2017;556418;São Paulo;SP;Sudeste;FAR-032-SP;Residencial FAR-032-SP;Banco do Brasil;MCMV-FAR;16/02/2023;07/07/1990;Feminino;separado;Extravista;R$ 74.255,00;R$ 41.163,00;R$ 2.421,00
17/12/2019;390582;Rio de Janeiro;RJ;Sudeste;FAR-033-RJ;Residencial FAR-033-RJ;Banco do Nordeste;MCMV-Entidades;14/11/2024;23/06/1994;Feminino;viúvo;Não aplicável;R$ 61.047,00;R$ 48.389,00;R$ 3.031,00
14/02/2024;449846;Curitiba;PR;Sul;FAR-034-PR;Conjunto Habitacional FAR-034-PR;Banco do Brasil;MCMV-Oferta Pública;10/01/2025;08/03/2002;Masculino;separado;Indigena;R$ 67.554,00;R$ 40.037,00;R$ 2.504,00
24/11/2021;480327;Curitiba;PR;Sul;FAR-035-PR;Residencial FAR-035-PR;Caixa Econômica Federal;MCMV-Oferta Pública;06/07/2024;06/06/1996;Masculino;solteiro;Assentados do PNRA;R$ 66.280,00;R$ 45.914,00;R$ 4.564,00
15/11/2019;287491;Salvador;BA;Nordeste;FAR-036-BA;Residencial FAR-036-BA;Banco do Brasil;MCMV-FAR;19/02/2023;16/12/2001;Masculino;casado;Outras Comunidades;R$ 81.984,00;R$ 47.264,00;R$ 4.928,00
25/02/2018;964349;Rio de Janeiro;RJ;Sudeste;FAR-037-RJ;Condomínio FAR-037-RJ;Caixa Econômica Federal;MCMV-Entidades;20/03/2025;19/02/2006;Feminino;separado;Quilombolas;R$ 79.720,00;R$ 45.662,00;R$ 1.448,00
18/08/2022;846552;Rio de Janeiro;RJ;Sudeste;FAR-038-RJ;Condomínio FAR-038-RJ;Caixa Econômica Federal;MCMV-Entidades;20/11/2023;02/11/1999;Feminino;solteiro;Outras Comunidades;R$ 73.572,00;R$ 43.846,00;R$ 4.154,00
14/01/2018;265797;São Paulo;SP;Sudeste;FAR-039-SP;Condomínio FAR-039-SP;Banco do Brasil;MCMV-FAR;01/10/2023;01/12/2003;Masculino;casado;Assentados do PNRA;R$ 62.593,00;R$ 49.279,00;R$ 4.541,00
26/03/2023;514225;Curitiba;PR;Sul;FAR-040-PR;Condomínio FAR-040-PR;Caixa Econômica Federal;MCMV-Oferta Pública;31/03/2025;10/07/2004;Masculino;solteiro;Indigena;R$ 78.351,00;R$ 49.712,00;R$ 4.581,00
23/02/2018;459801;Salvador;BA;Nordeste;FAR-041-BA;Residencial FAR-041-BA;Caixa Econômica Federal;MCMV-FAR;20/08/2023;22/02/1999;Feminino;separado;Pescadores artesanais;R$ 89.574,00;R$ 41.070,00;R$ 2.703,00
06/01/2017;989839;Curitiba;PR;Sul;FAR-042-PR;Condomínio FAR-042-PR;Caixa Econômica Federal;MCMV-Oferta Pública;03/06/2023;12/05/2003;Feminino;divorciado;Indigena;R$ 71.308,00;R$ 47.027,00;R$ 4.961,00
27/10/2024;416031;Salvador;BA;Nordeste;FAR-043-BA;Condomínio FAR-043-BA;Caixa Econômica Federal;MCMV-FAR;10/09/2024;15/05/1994;Masculino;separado;Extravista;R$ 94.569,00;R$ 42.921,00;R$ 1.805,00
21/11/2023;531687;São Paulo;SP;Sudeste;FAR-044-SP;Condomínio FAR-044-SP;Banco do Nordeste;MCMV-FAR;02/06/2025;11/04/1998;Masculino;separado;Quilombolas;R$ 63.957,00;R$ 45.091,00;R$ 2.870,00
05/07/2023;238065;Rio de Janeiro;RJ;Sudeste;FAR-045-RJ;Residencial FAR-045-RJ;Banco do Nordeste;MCMV-Entidades;14/10/2023;02/10/1987;Feminino;divorciado;Indigena;R$ 60.331,00;R$ 42.639,00;R$ 1.455,00
23/05/2021;499109;São Paulo;SP;Sudeste;FAR-046-SP;Condomínio FAR-046-SP;Banco do Brasil;MCMV-FAR;07/03/2024;28/09/1992;Feminino;separado;Não aplicável;R$ 59.218,00;R$ 47.541,00;R$ 4.447,00
28/05/2022;540576;Rio de Janeiro;RJ;Sudeste;FAR-047-RJ;Conjunto Habitacional FAR-047-RJ;Caixa Econômica Federal;MCMV-Entidades;11/06/2023;09/11/2000;Masculino;casado;Outras Comunidades;R$ 56.870,00;R$ 42.377,00;R$ 2.471,00
05/04/2024;375765;Salvador;BA;Nordeste;FAR-048-BA;Condomínio FAR-048-BA;Caixa Econômica Federal;MCMV-FAR;22/02/2023;01/09/1993;Feminino;divorciado;Não aplicável;R$ 52.001,00;R$ 46.982,00;R$ 2.519,00
16/07/2018;846633;Curitiba;PR;Sul;FAR-049-PR;Conjunto Habitacional FAR-049-PR;Banco do Brasil;MCMV-Oferta Pública;10/04/2025;06/11/2002;Feminino;solteiro;Não aplicável;R$ 85.122,00;R$ 42.485,00;R$ 3.592,00
15/10/2019;960657;Rio de Janeiro;RJ;Sudeste;FAR-050-RJ;Condomínio FAR-050-RJ;Caixa Econômica Federal;MCMV-Entidades;17/10/2023;22/10/1992;Feminino;viúvo;Pescadores artesanais;R$ 57.410,00;R$ 44.418,00;R$ 2.244,00
26/11/2017;133607;Curitiba;PR;Sul;FAR-051-PR;Residencial FAR-051-PR;Caixa Econômica Federal;MCMV-Oferta Pública;21/04/2023;16/09/2001;Feminino;casado;Assentados do PNRA;R$ 56.010,00;R$ 41.940,00;R$ 4.306,00
06/07/2021;277792;Salvador;BA;Nordeste;FAR-052-BA;Conjunto Habitacional FAR-052-BA;Caixa Econômica Federal;MCMV-FAR;04/09/2023;07/08/1990;Feminino;casado;Outras Comunidades;R$ 76.717,00;R$ 46.249,00;R$ 4.282,00
06/07/2021;309402;Rio de Janeiro;RJ;Sudeste;FAR-053-RJ;Condomínio FAR-053-RJ;Banco do Brasil;MCMV-Entidades;07/08/2024;17/12/1995;Feminino;solteiro;Não aplicável;R$ 65.974,00;R$ 46.339,00;R$ 1.662,00
15/02/2019;607763;Salvador;BA;Nordeste;FAR-054-BA;Condomínio FAR-054-BA;Caixa Econômica Federal;MCMV-FAR;25/10/2024;14/03/1984;Masculino;casado;Extravista;R$ 87.975,00;R$ 42.881,00;R$ 1.725,00
26/06/2022;805903;Curitiba;PR;Sul;FAR-055-PR;Residencial FAR-055-PR;Caixa Econômica Federal;MCMV-Oferta Pública;25/01/2025;11/11/2001;Feminino;divorciado;Quilombolas;R$ 58.527,00;R$ 47.265,00;R$ 3.505,00
18/07/2024;565064;Curitiba;PR;Sul;FAR-056-PR;Residencial FAR-056-PR;Banco do Brasil;MCMV-Oferta Pública;24/09/2024;12/05/2005;Feminino;viúvo;Extravista;R$ 64.482,00;R$ 44.484,00;R$ 3.217,00
22/02/2018;219992;São Paulo;SP;Sudeste;FAR-057-SP;Condomínio FAR-057-SP;Banco do Nordeste;MCMV-FAR;10/02/2024;07/01/1995;Masculino;separado;Extravista;R$ 87.295,00;R$ 45.333,00;R$ 4.302,00
28/08/2018;820523;Curitiba;PR;Sul;FAR-058-PR;Conjunto Habitacional FAR-058-PR;Banco do Nordeste;MCMV-Oferta Pública;19/03/2025;10/02/1988;Masculino;solteiro;Quilombolas;R$ 79.435,00;R$ 48.170,00;R$ 2.689,00
13/07/2020;703955;Rio de Janeiro;RJ;Sudeste;FAR-059-RJ;Residencial FAR-059-RJ;Banco do Brasil;MCMV-Entidades;05/11/2024;02/04/1989;Masculino;solteiro;Pescadores artesanais;R$ 65.706,00;R$ 48.048,00;R$ 4.941,00
01/06/2021;382768;Rio de Janeiro;RJ;Sudeste;FAR-060-RJ;Conjunto Habitacional FAR-060-RJ;Caixa Econômica Federal;MCMV-Entidades;27/01/2025;06/03/1993;Masculino;solteiro;Pescadores artesanais;R$ 98.109,00;R$ 42.122,00;R$ 3.346,00
11/06/2022;718110;Curitiba;PR;Sul;FAR-061-PR;Residencial FAR-061-PR;Banco do Nordeste;MCMV-Oferta Pública;21/02/2025;23/09/2005;Feminino;viúvo;Não aplicável;R$ 71.719,00;R$ 48.116,00;R$ 2.329,00
06/06/2023;845212;São Paulo;SP;Sudeste;FAR-062-SP;Conjunto Habitacional FAR-062-SP;Banco do Brasil;MCMV-FAR;03/06/2025;09/12/2003;Feminino;viúvo;Indigena;R$ 96.168,00;R$ 46.809,00;R$ 3.556,00
21/01/2022;369259;Rio de Janeiro;RJ;Sudeste;FAR-063-RJ;Condomínio FAR-063-RJ;Caixa Econômica Federal;MCMV-Entidades;10/05/2025;16/02/2004;Feminino;casado;Quilombolas;R$ 85.535,00;R$ 46.612,00;R$ 4.596,00
04/08/2023;297539;Rio de Janeiro;RJ;Sudeste;FAR-064-RJ;Condomínio FAR-064-RJ;Banco do Brasil;MCMV-Entidades;24/07/2024;01/03/1998;Feminino;viúvo;Quilombolas;R$ 57.845,00;R$ 40.090,00;R$ 4.288,00
20/03/2022;316840;Salvador;BA;Nordeste;FAR-065-BA;Conjunto Habitacional FAR-065-BA;Banco do Nordeste;MCMV-FAR;29/03/2024;23/06/1992;Feminino;casado;Quilombolas;R$ 79.824,00;R$ 43.030,00;R$ 4.784,00
20/09/2021;276655;Salvador;BA;Nordeste;FAR-066-BA;Conjunto Habitacional FAR-066-BA;Banco do Brasil;MCMV-FAR;11/02/2023;21/10/2003;Masculino;divorciado;Indigena;R$ 84.866,00;R$ 49.792,00;R$ 5.000,00
24/05/2019;461377;Salvador;BA;Nordeste;FAR-067-BA;Condomínio FAR-067-BA;Caixa Econômica Federal;MCMV-FAR;26/12/2024;05/04/1987;Masculino;solteiro;Assentados do PNRA;R$ 99.357,00;R$ 40.036,00;R$ 2.922,00
23/08/2021;174636;São Paulo;SP;Sudeste;FAR-068-SP;Residencial FAR-068-SP;Banco do Nordeste;MCMV-FAR;22/06/2024;11/03/1984;Feminino;viúvo;Assentados do PNRA;R$ 60.260,00;R$ 47.334,00;R$ 3.378,00
27/04/2017;264435;Curitiba;PR;Sul;FAR-069-PR;Condomínio FAR-069-PR;Caixa Econômica Federal;MCMV-Oferta Pública;23/10/2023;23/07/2003;Feminino;casado;Quilombolas;R$ 67.329,00;R$ 49.465,00;R$ 4.159,00
13/08/2020;202409;Rio de Janeiro;RJ;Sudeste;FAR-070-RJ;Residencial FAR-070-RJ;Banco do Brasil;MCMV-Entidades;03/06/2023;12/09/1995;Feminino;viúvo;Quilombolas;R$ 65.371,00;R$ 48.760,00;R$ 2.279,00
16/01/2022;599555;Curitiba;PR;Sul;FAR-071-PR;Residencial FAR-071-PR;Banco do Nordeste;MCMV-Oferta Pública;28/01/2023;05/03/2006;Masculino;solteiro;Extravista;R$ 99.810,00;R$ 44.444,00;R$ 4.227,00
16/06/2022;899655;Curitiba;PR;Sul;FAR-072-PR;Residencial FAR-072-PR;Caixa Econômica Federal;MCMV-Oferta Pública;21/01/2025;08/10/2006;Feminino;separado;Extravista;R$ 62.270,00;R$ 42.795,00;R$ 3.608,00
12/06/2022;556407;Rio de Janeiro;RJ;Sudeste;FAR-073-RJ;Condomínio FAR-073-RJ;Banco do Brasil;MCMV-Entidades;16/01/2025;07/10/1992;Masculino;separado;Outras Comunidades;R$ 76.700,00;R$ 42.458,00;R$ 1.857,00
11/01/2017;707055;Curitiba;PR;Sul;FAR-074-PR;Condomínio FAR-074-PR;Banco do Brasil;MCMV-Oferta Pública;06/02/2025;07/05/1985;Feminino;divorciado;Pescadores artesanais;R$ 99.149,00;R$ 43.054,00;R$ 1.930,00
23/08/2024;846499;São Paulo;SP;Sudeste;FAR-075-SP;Condomínio FAR-075-SP;Banco do Nordeste;MCMV-FAR;01/05/2024;21/09/1994;Masculino;casado;Assentados do PNRA;R$ 73.691,00;R$ 48.149,00;R$ 2.238,00
03/10/2017;403139;São Paulo;SP;Sudeste;FAR-076-SP;Residencial FAR-076-SP;Banco do Nordeste;MCMV-FAR;20/03/2024;24/05/1984;Masculino;divorciado;Quilombolas;R$ 99.836,00;R$ 43.811,00;R$ 3.552,00
18/06/2017;439626;Salvador;BA;Nordeste;FAR-077-BA;Residencial FAR-077-BA;Banco do Brasil;MCMV-FAR;21/12/2023;10/08/1991;Masculino;viúvo;Quilombolas;R$ 51.889,00;R$ 49.502,00;R$ 4.140,00
20/10/2021;218491;Rio de Janeiro;RJ;Sudeste;FAR-078-RJ;Condomínio FAR-078-RJ;Banco do Brasil;MCMV-Entidades;18/10/2024;16/05/2006;Masculino;viúvo;Assentados do PNRA;R$ 83.602,00;R$ 46.100,00;R$ 2.654,00
17/05/2023;252574;São Paulo;SP;Sudeste;FAR-079-SP;Condomínio FAR-079-SP;Caixa Econômica Federal;MCMV-FAR;12/06/2024;03/03/1987;Feminino;divorciado;Não aplicável;R$ 91.227,00;R$ 47.313,00;R$ 2.833,00
16/02/2019;631732;Rio de Janeiro;RJ;Sudeste;FAR-080-RJ;Residencial FAR-080-RJ;Caixa Econômica Federal;MCMV-Entidades;06/01/2024;07/12/1999;Masculino;viúvo;Não aplicável;R$ 73.670,00;R$ 48.109,00;R$ 3.557,00
28/05/2024;161719;São Paulo;SP;Sudeste;FAR-081-SP;Condomínio FAR-081-SP;Banco do Nordeste;MCMV-FAR;01/01/2023;15/11/1984;Masculino;solteiro;Outras Comunidades;R$ 62.605,00;R$ 42.445,00;R$ 2.746,00
27/08/2019;368237;Curitiba;PR;Sul;FAR-082-PR;Residencial FAR-082-PR;Banco do Nordeste;MCMV-Oferta Pública;06/01/2024;17/06/1984;Feminino;solteiro;Não aplicável;R$ 88.160,00;R$ 46.407,00;R$ 3.514,00
03/12/2022;512440;Rio de Janeiro;RJ;Sudeste;FAR-083-RJ;Residencial FAR-083-RJ;Banco do Nordeste;MCMV-Entidades;11/02/2025;24/02/1985;Masculino;casado;Não aplicável;R$ 84.882,00;R$ 41.497,00;R$ 4.882,00
27/03/2023;889530;Rio de Janeiro;RJ;Sudeste;FAR-084-RJ;Residencial FAR-084-RJ;Banco do Brasil;MCMV-Entidades;11/04/2023;02/07/1995;Feminino;divorciado;Extravista;R$ 99.067,00;R$ 42.839,00;R$ 3.221,00
03/10/2024;155839;Salvador;BA;Nordeste;FAR-085-BA;Conjunto Habitacional FAR-085-BA;Banco do Brasil;MCMV-FAR;25/05/2024;16/09/1998;Masculino;divorciado;Outras Comunidades;R$ 91.801,00;R$ 41.009,00;R$ 2.753,00
11/12/2024;333756;Salvador;BA;Nordeste;FAR-086-BA;Condomínio FAR-086-BA;Banco do Nordeste;MCMV-FAR;06/04/2023;03/10/1992;Feminino;casado;Quilombolas;R$ 63.343,00;R$ 47.504,00;R$ 1.690,00
24/09/2021;663644;Curitiba;PR;Sul;FAR-087-PR;Conjunto Habitacional FAR-087-PR;Banco do Brasil;MCMV-Oferta Pública;17/09/2023;28/03/1985;Feminino;casado;Outras Comunidades;R$ 96.325,00;R$ 48.673,00;R$ 2.138,00
17/07/2021;434830;Curitiba;PR;Sul;FAR-088-PR;Residencial FAR-088-PR;Caixa Econômica Federal;MCMV-Oferta Pública;17/05/2025;12/04/2004;Masculino;separado;Outras Comunidades;R$ 92.901,00;R$ 41.370,00;R$ 3.408,00
18/06/2023;737660;Salvador;BA;Nordeste;FAR-089-BA;Conjunto Habitacional FAR-089-BA;Banco do Brasil;MCMV-FAR;02/08/2023;18/04/1999;Masculino;separado;Não aplicável;R$ 93.956,00;R$ 46.471,00;R$ 4.544,00
18/10/2019;967819;Salvador;BA;Nordeste;FAR-090-BA;Conjunto Habitacional FAR-090-BA;Banco do Nordeste;MCMV-FAR;30/11/2024;26/03/1996;Feminino;divorciado;Pescadores artesanais;R$ 76.866,00;R$ 48.201,00;R$ 3.467,00
06/11/2021;970380;Curitiba;PR;Sul;FAR-091-PR;Conjunto Habitacional FAR-091-PR;Banco do Nordeste;MCMV-Oferta Pública;21/11/2024;11/09/2002;Feminino;divorciado;Extravista;R$ 91.168,00;R$ 45.251,00;R$ 3.134,00
05/06/2022;938837;Salvador;BA;Nordeste;FAR-092-BA;Condomínio FAR-092-BA;Caixa Econômica Federal;MCMV-FAR;08/05/2025;04/10/2006;Feminino;divorciado;Assentados do PNRA;R$ 77.721,00;R$ 45.984,00;R$ 1.807,00
08/06/2022;424485;São Paulo;SP;Sudeste;FAR-093-SP;Condomínio FAR-093-SP;Caixa Econômica Federal;MCMV-FAR;22/05/2025;16/12/2003;Masculino;casado;Assentados do PNRA;R$ 63.525,00;R$ 43.953,00;R$ 4.226,00
06/05/2023;698370;Rio de Janeiro;RJ;Sudeste;FAR-094-RJ;Condomínio FAR-094-RJ;Banco do Nordeste;MCMV-Entidades;10/02/2025;21/09/2000;Feminino;solteiro;Indigena;R$ 73.167,00;R$ 46.805,00;R$ 2.012,00
10/12/2020;595104;São Paulo;SP;Sudeste;FAR-095-SP;Conjunto Habitacional FAR-095-SP;Banco do Nordeste;MCMV-FAR;17/06/2024;01/09/1987;Feminino;casado;Quilombolas;R$ 73.751,00;R$ 40.608,00;R$ 1.750,00
26/06/2022;954200;Salvador;BA;Nordeste;FAR-096-BA;Condomínio FAR-096-BA;Banco do Nordeste;MCMV-FAR;03/07/2024;04/11/1988;Feminino;solteiro;Extravista;R$ 66.097,00;R$ 49.483,00;R$ 3.662,00
27/05/2023;224373;Rio de Janeiro;RJ;Sudeste;FAR-097-RJ;Conjunto Habitacional FAR-097-RJ;Banco do Nordeste;MCMV-Entidades;27/01/2023;09/12/1997;Masculino;solteiro;Não aplicável;R$ 57.577,00;R$ 46.220,00;R$ 4.252,00
21/02/2017;149248;Curitiba;PR;Sul;FAR-098-PR;Conjunto Habitacional FAR-098-PR;Caixa Econômica Federal;MCMV-Oferta Pública;20/08/2023;07/12/1997;Masculino;viúvo;Extravista;R$ 96.206,00;R$ 43.032,00;R$ 2.367,00
21/11/2019;694641;Curitiba;PR;Sul;FAR-099-PR;Conjunto Habitacional FAR-099-PR;Banco do Brasil;MCMV-Oferta Pública;20/02/2024;24/04/1991;Masculino;divorciado;Extravista;R$ 59.792,00;R$ 43.723,00;R$ 2.842,00
22/06/2018;759406;São Paulo;SP;Sudeste;FAR-100-SP;Conjunto Habitacional FAR-100-SP;Banco do Nordeste;MCMV-FAR;04/05/2025;07/10/2006;Feminino;solteiro;Assentados do PNRA;R$ 81.950,00;R$ 49.369,00;R$ 4.399,00
07/08/2021;905660;Salvador;BA;Nordeste;FAR-101-BA;Condomínio FAR-101-BA;Banco do Nordeste;MCMV-FAR;12/04/2025;01/05/2004;Masculino;separado;Outras Comunidades;R$ 69.622,00;R$ 49.957,00;R$ 3.041,00
10/11/2023;617169;Rio de Janeiro;RJ;Sudeste;FAR-102-RJ;Residencial FAR-102-RJ;Banco do Nordeste;MCMV-Entidades;23/01/2025;10/02/1999;Masculino;viúvo;Pescadores artesanais;R$ 61.341,00;R$ 46.999,00;R$ 4.262,00
13/11/2021;818839;Rio de Janeiro;RJ;Sudeste;FAR-103-RJ;Condomínio FAR-103-RJ;Caixa Econômica Federal;MCMV-Entidades;21/09/2024;23/11/1993;Masculino;solteiro;Quilombolas;R$ 82.768,00;R$ 45.419,00;R$ 3.830,00
04/11/2022;814753;Salvador;BA;Nordeste;FAR-104-BA;Residencial FAR-104-BA;Banco do Nordeste;MCMV-FAR;20/06/2023;22/03/2005;Masculino;viúvo;Não aplicável;R$ 55.106,00;R$ 48.850,00;R$ 4.034,00
